name,family,status,elapsed_s,out_path,error
drq,rl,SKIP,,,"RL env-coupled, not a static module"
soft_actor_critic,rl,SKIP,,,RL env-coupled
moco,vision,SKIP,,,training-only contrastive setup
maml,meta_learning,SKIP,,,"training loop, not a static module"
maml_omniglot,meta_learning,PASS,,,
functorch_dp_cifar10,misc,PASS,,,
functorch_maml_omniglot,misc,PASS,,,
microbench_unbacked_tolist_sum,misc,SKIP,,,"microbench artifact, not a real model"
mobilenet_v2_quantized_qat,quantized,SKIP,,,QAT — separate quantization pipeline
resnet50_quantized_qat,quantized,SKIP,,,QAT — separate quantization pipeline
BERT_pytorch,transformers,PASS,,,
LearningToPaint,rl,PASS,,,
demucs,audio,PASS,,,
tacotron2,audio,SKIP,,,load_model assumes CUDA
tts_angular,audio,SKIP,,,tts_angular — needs audio dataset
phlippe_densenet,vision,PASS,,,
phlippe_resnet,vision,PASS,,,
doctr_det_predictor,vision,PASS,,,
doctr_reco_predictor,vision,PASS,,,
torch_multimodal_clip,transformers,SKIP,,,needs torchbenchmark.util.framework.fb (Meta-internal)
pyhpc_equation_of_state,hpc,PASS,,,
pyhpc_isoneutral_mixing,hpc,PASS,,,
pyhpc_turbulent_kinetic_energy,hpc,PASS,,,
